"Topic ID","Teaching group","Published lesson evidence","Required question evidence","Coordinator approval"
"1.1.01","Why licensing exists; definitions","Part 9","L09-01","Pending"
"1.1.02","Initial eligibility, examination, application and fee","Part 9","L09-02","Pending"
"1.1.03","Producer, adviser, nonresident and business-entity licenses","Part 9; Part 10","L09-01; L09-03; L09-04; L09-07; L10-08","Pending"
"1.1.04","Viatical licensing; exceptions and temporary authority","Part 9","L09-05; L09-06; L09-08","Pending"
"1.1.05","License duration, termination, renewal and CE","Part 10","L10-01; L10-02; L10-03; L10-04","Pending"
"1.1.06","Address/name changes and assumed names","Part 9; Part 10","L10-05; L10-08","Pending"
"1.1.07","Criminal and other-jurisdiction reporting","Part 10","L10-06; L10-07","Pending"
"1.1.08","Producer contract versus appointment; individual versus agency appointment","Part 9; Part 11","L09-01; L11-01; L11-03","Pending"
"1.1.09","Solicitation before appointment and appointment after licensing","Part 11","L11-02","Pending"
"1.1.10","Appointment notice, cessation, termination and lack of active appointments","Part 11","L11-05; L11-07","Pending"
"1.1.11","Probation, suspension, revocation, denial and nonrenewal","Part 11","L11-06; L11-07","Pending"
"1.1.12","Cease-and-desist orders, penalties and hearing rights","Part 11","L11-06","Pending"
"1.1.13","Insurance fraud","Part 11","L11-08","Pending"
"1.2.01","MIA powers and duties","Part 11","L11-09","Pending"
"1.2.02","Insurer authorization, forms and claims oversight","Part 11; Part 17","L11-10; L17-01; L17-02; L17-08","Pending"
"1.2.03","Acting for an unauthorized insurer","Part 4","L04-09","Pending"
"1.2.04","Records and permitted work by unlicensed people","Part 11; Part 12; Part 13; Part 14; Part 15","L11-04; L12-08; L13-06","Pending"
"1.2.05","Commissions, sharing, fees and compensation exceptions","Part 12","L12-06; L12-07","Pending"
"1.2.06","Fiduciary duties, commingling and trust accounts","Part 12","L12-01; L12-02; L12-03; L12-04; L12-05","Pending"
"1.2.07","Advertising and misleading policy descriptions","Part 13; Part 14","L13-01; L14-01","Pending"
"1.2.08","False advertising, defamation and false financial statements","Part 13; Part 14","L13-02; L13-08; L14-01","Pending"
"1.2.09","Boycott, coercion and intimidation","Part 13","L13-05","Pending"
"1.2.10","Inducements, rebating and unfair discrimination","Part 13","L13-03; L13-04","Pending"
"1.2.11","Blank forms, twisting and referrals","Part 13","L13-01; L13-06; L13-07","Pending"
"1.2.12","Information and privacy protection","Part 14","L14-06; L14-07; L14-08","Pending"
"1.3.01","Replacement definitions, duties and notices","Part 15","L15-01; L15-02; L15-03; L15-04; L15-05; L15-06; L15-07; L15-08","Pending"
"1.3.02","Group eligibility and dependent coverage","Part 16","L16-01; L16-02; L16-03","Pending"
"1.3.03","Required group provisions and conversion","Part 16","L16-04; L16-05; L16-06; L16-07","Pending"
"1.3.04","Assignment of group proceeds","Part 16","L16-08","Pending"
"1.3.05","Guaranty corporation purpose, eligibility, limits and advertising restrictions","Part 17","L17-04; L17-05; L17-06; L17-07","Pending"
"2.1.01","Risk","Part 1","L01-06; L02-01; L02-02","Pending"
"2.1.02","Exposure","Part 1","L01-05","Pending"
"2.1.03","Hazard","Part 1","L01-02; L01-03; L01-04","Pending"
