"Question ID","Subsection","Status","Review note"
"1","4.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"2","4.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"3","6.4","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"4","5.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"5","1.2","held","Rebating example needs an explicit purchase inducement and review against current Maryland exceptions."
"6","3.9","revised","Revised in this audit; coordinator approval still pending."
"7","4.3","revised","Revised in this audit; coordinator approval still pending."
"8","4.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"9","1.3","held","Verify Maryland group conversion conditions and correct the assertion that the new premium must always be higher."
"10","1.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"11","1.1","revised","Revised in this audit; coordinator approval still pending."
"12","1.2","held","Verify compensation/commission-sharing permissions and exceptions under current Maryland law."
"13","1.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"14","6.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"15","1.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"16","1.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"17","3.1","revised","Revised in this audit; coordinator approval still pending."
"18","5.10","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"19","5.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"20","3.9","held","Race answer is the intended distinction; explanation overstates when every other listed factor is lawful. Rewrite with precise scope."
"21","1.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"22","4.2","revised","Revised in this audit; coordinator approval still pending."
"23","5.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"24","7.6","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"25","6.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"26","6.2","revised","Revised in this audit; coordinator approval still pending."
"27","6.4","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"28","5.1","revised","Revised in this audit; coordinator approval still pending."
"29","4.5","revised","Revised in this audit; coordinator approval still pending."
"30","3.8","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"31","1.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"32","4.5","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"33","7.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"34","8.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"35","3.1","revised","Revised in this audit; coordinator approval still pending."
"36","2.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"37","5.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"38","1.1","revised","Revised in this audit; coordinator approval still pending."
"39","3.8","held","Verify the first-page policy-description requirement and applicable product scope."
"40","2.4","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"41","7.3","revised","Revised in this audit; coordinator approval still pending."
"42","8.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"43","3.8","held","Buyer-guide and summary delivery timing is too ambiguous; check current disclosure and replacement rules."
"44","1.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"45","5.7","revised","Revised in this audit; coordinator approval still pending."
"46","4.4","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"47","3.9","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"48","supplemental","held","Death proceeds are not necessarily paid to the policyowner; endowment detail is supplemental, not a standalone outline topic."
"49","5.1","revised","Revised in this audit; coordinator approval still pending."
"50","supplemental","held","Surplus-lines item needs eligibility and life-line limitations; do not teach it as a route for ordinary life placement."
"51","5.5","revised","Revised in this audit; coordinator approval still pending."
"52","3.9","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"53","4.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"54","2.4","held","Reasonable-expectations explanation overstates when expectations can override contract language."
"55","5.7","revised","Revised in this audit; coordinator approval still pending."
"56","1.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"57","4.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"58","1.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"59","1.2","held","Rate comparison omits comparable benefits/terms; revise the unfair-discrimination scenario."
"60","5.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"61","5.8","revised","Revised in this audit; coordinator approval still pending."
"62","2.5","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"63","1.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"64","4.2","revised","Revised in this audit; coordinator approval still pending."
"65","3.8","revised","Revised in this audit; coordinator approval still pending."
"66","7.5","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"67","1.2","held","Blank and incomplete applications should not be conflated; clarify prohibited conduct and correction procedures."
"68","7.4","revised","Revised in this audit; coordinator approval still pending."
"69","5.4","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"70","5.5","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"71","5.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"72","4.3","revised","Revised in this audit; coordinator approval still pending."
"73","5.1","revised","Revised in this audit; coordinator approval still pending."
"74","3.5","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"75","5.4","revised","Revised in this audit; coordinator approval still pending."
"76","7.2","revised","Revised in this audit; coordinator approval still pending."
"77","5.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"78","3.5","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"79","5.6","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"80","5.1","revised","Revised in this audit; coordinator approval still pending."
"81","1.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"82","6.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"83","4.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"84","5.1","revised","Revised in this audit; coordinator approval still pending."
"85","4.4","revised","Revised in this audit; coordinator approval still pending."
"86","1.3","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"87","5.1","revised","Revised in this audit; coordinator approval still pending."
"88","5.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"89","7.1","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
"90","1.2","editorial-review","Read and mapped; independent source and coordinator sign-off still required."
